,,Value Weighted,Value Weighted (full available data),Minimum Variance (Sample Covariance),Minimum Variance (Ledoit–Wolf)
2021,Apr,0.048154856355427954,0.048011792957210433,0.020833459544117715,0.023623532199754552
2021,May,0.02225105577062448,0.022078508142208277,0.02413997961187105,0.023010172639213174
2021,Jun,0.0046825306121907,0.0047651079652959345,-0.016121159862406007,-0.01623212473090847
2021,Jul,0.01549228850383881,0.015526159048137665,0.026712886152520834,0.026291853476712344
2021,Aug,0.019157953031536116,0.019239188872537814,0.007353854900377243,0.00800019274903039
2021,Sep,-0.0388536547101411,-0.03882962210935867,-0.055993824124424586,-0.05569221778224674
2021,Oct,0.055974094133049546,0.055880883212230725,0.03092600449701586,0.03228825016791936
2021,Nov,-0.026212021171897085,-0.02592779252984021,-0.03139444178709062,-0.03316521153524294
2021,Dec,0.06122972645415427,0.0610873720623331,0.08095289695805684,0.07997328896261018
2022,Jan,-0.03684032927751575,-0.03663283978065596,-0.022475023776000715,-0.01730549401849501
2022,Feb,-0.02529763793534387,-0.025259570315781958,-0.011864732279279625,-0.012736016944561817
2022,Mar,0.024008167966387283,0.024099031774221884,0.0449831327023137,0.04526049211230194
2022,Apr,-0.07222171522121032,-0.07183302968668576,-0.04221611303727934,-0.03450069363379267
2022,May,0.005096023877868983,0.005102900318362059,0.011320114054293489,0.005757451373413611
2022,Jun,-0.08640726131357887,-0.08597876434603798,-0.047284343036764036,-0.04623669093981905
2022,Jul,0.08389449734383186,0.08363986938392304,0.03279034909815929,0.03512023435244894
2022,Aug,-0.04659607568018487,-0.046204972091481236,-0.031100757244713458,-0.029635632290898387
2022,Sep,-0.0942453328503212,-0.09374865300558101,-0.07498762443629461,-0.07760734917327294
2022,Oct,0.08124006658428601,0.08105741474336815,0.06154263882381565,0.06538366608337391
2022,Nov,0.07528224412200409,0.07473277869909578,0.06720684731655424,0.06491743864718094
2022,Dec,-0.04318059264161923,-0.04295595723860887,-0.026174434196479083,-0.02382522829728747
2023,Jan,0.07844003092007043,0.07796165744584571,0.022763294916298322,0.0229733825007094
2023,Feb,-0.02223944468726621,-0.021960282907797793,-0.007758662963057408,-0.01123065950695973
2023,Mar,0.03372655039554154,0.03383874871714946,0.009557390280839666,0.012241705573343843
2023,Apr,0.02548603597698562,0.025566893544263225,0.02649730687476165,0.028360320640718
2023,May,-0.017187941673948978,-0.016883779887092578,-0.0434862385719947,-0.04636025591935778
2023,Jun,0.06091962250408444,0.060555513524918836,0.0157951829355494,0.01594698975166952
2023,Jul,0.03235216732723486,0.031986180182094835,0.0063897053401480814,0.009216716267167437
2023,Aug,-0.026291150422929472,-0.026217894152035424,-0.026982057770734355,-0.027216868639511425
2023,Sep,-0.046666213335609316,-0.04651763621716188,-0.04392057559613054,-0.04495716060307489
2023,Oct,-0.023821587349605874,-0.023573407222408114,-0.013568450598659122,-0.015610368992595781
2023,Nov,0.0931634594798255,0.09314407707139516,0.03353312158103494,0.036072306190776386
2023,Dec,0.05072102138020286,0.050461189049795525,0.022180516826433967,0.02438976544094937
2024,Jan,0.006158626941442189,0.0063978541533766305,-0.004506032539864729,-0.0021347280008428356
2024,Feb,0.030217526997869584,0.030111732992847678,0.026874099557975664,0.02194471885505853
2024,Mar,0.035090152083581794,0.034954253816738605,0.02920369604502094,0.028918108909804903
2024,Apr,-0.03481810822661197,-0.034688336955786166,0.007717873587337512,0.007339368961559421
2024,May,0.04328722496154416,0.04304551472285332,0.027374674100604394,0.02968514039734218
2024,Jun,0.00531782206433141,0.005483521217817915,-0.011037347066133199,-0.011855602345375542
2024,Jul,0.02824571682780129,0.02810913501904294,0.027723602287242716,0.02878596106921633
2024,Aug,0.025477244519483307,0.025525975548420926,0.04215962015076993,0.04413556350443622
2024,Sep,0.015336749499504677,0.015262020792325614,-0.00560575530061801,-0.004472453499116937
2024,Oct,-0.02968531935177579,-0.029598802118055146,-0.04876917068996293,-0.0447571429328115
2024,Nov,0.03562961801583125,0.03565226795077657,-0.00015864138004326872,-0.0006096489862709078
2024,Dec,-0.03472215718851721,-0.034591398497110265,-0.035952369352027495,-0.03480871571695483
2025,Jan,0.03401164335037601,0.03390839143494495,-0.005295499689929326,-0.002293459964282279
2025,Feb,0.005941679681657258,0.005945350710033822,0.0032066217800799535,0.010182997323781874
2025,Mar,-0.0352818273666359,-0.03521038284322235,0.013762485684102039,0.013489832011864336
2025,Apr,-0.0031127611999025584,-0.0031067586664675767,0.041398742751478125,0.036990290012279464
2025,May,0.04639650768641165,0.046364805593890085,-0.010544574842575738,-0.009699933259250908
2025,Jun,0.04014872604913096,0.04012753153144031,-0.0025571472662057042,-0.0005897114914957024
2025,Jul,0.010741207831035571,0.010661786633802666,-0.012493624631818898,-0.005980620570766225
2025,Aug,0.031637013706071915,0.03156826645433589,0.011490677948474689,0.011846380702083747
2025,Sep,0.022071124722057342,0.022029333955574725,-0.005874771276571949,-0.0016563159191669034
2025,Oct,0.021133185727705804,0.021153193528106705,-0.01356156277134644,-0.010713993355216526
2025,Nov,0.014414630871745937,0.014276670247828156,0.050868486550081776,0.047036221479686724
2025,Dec,0.012616956354160639,0.012564051365697233,-0.001747568066295304,-0.006907430685965148
