Date,Value-weighted portfolio,Minimum variance portfolio
2018 Dec,-0.08081229798711846,-0.05599397277302663
2019 Jan,0.08045361791803554,0.022189848220456103
2019 Feb,0.03434591356375655,0.04807687031031144
2019 Mar,0.011334988418661048,0.035946112484044654
2019 Apr,0.04110936775755815,0.017928274259979952
2019 May,-0.0662629885740387,-0.016045912531580463
2019 Jun,0.07322332079354132,0.04022896682587491
2019 Jul,0.002843822274370339,-0.0041481148879379814
2019 Aug,-0.025743995471195692,-0.010522291063617793
2019 Sep,0.031692776202707496,0.006577668566289028
2019 Oct,0.02396892957487759,-0.015127039601340597
2019 Nov,0.031224096810236447,0.03508537789185378
2019 Dec,0.0359665570705136,0.061587950635227366
2020 Jan,-0.014170888348942106,0.006908625146418032
2020 Feb,-0.09021812008938386,-0.09116279958429314
2020 Mar,-0.14503225049933627,-0.14687726188528077
2020 Apr,0.11012903457753657,0.13173695162131607
2020 May,0.03768478287734101,0.033354560309711206
2020 Jun,0.026677208238723618,-0.004719720514811104
2020 Jul,0.03554023437565311,0.06441418538647292
2020 Aug,0.057467812267712304,0.044894398931452306
2020 Sep,-0.041721118666417104,-0.019528950311936008
2020 Oct,-0.032730498306692876,-0.013624863395468367
2020 Nov,0.16298657837869987,0.10397888157724734
2020 Dec,0.04086582677643348,0.04052923287777165
2021 Jan,-0.012173184769556186,-0.003457780230249209
2021 Feb,0.03657776859339674,-0.0053944892947485005
2021 Mar,0.05001765671554285,0.08463807656812546
2021 Apr,0.048154856355427954,0.020833459506877542
2021 May,0.02225105577062448,0.024139979639696454
2021 Jun,0.0046825306121907,-0.01612115989553022
2021 Jul,0.01549228850383881,0.02671288616056399
2021 Aug,0.019157953031536116,0.007353854849443121
2021 Sep,-0.0388536547101411,-0.05599382413976726
2021 Oct,0.055974094133049546,0.03092600447525761
2021 Nov,-0.026212021171897085,-0.03139444180166674
2021 Dec,0.06122972645415427,0.08095289693833574
2022 Jan,-0.03684032927751575,-0.02247502380011495
2022 Feb,-0.02529763793534387,-0.011864732317774539
2022 Mar,0.024008167966387283,0.04498313256269089
2022 Apr,-0.07222171522121032,-0.04221611310512717
2022 May,0.005096023877868983,0.011320114056251267
2022 Jun,-0.08640726131357887,-0.04728434305148839
2022 Jul,0.08389449734383186,0.032790348953550985
2022 Aug,-0.04659607568018487,-0.03110075722526734
2022 Sep,-0.0942453328503212,-0.07498762438781718
2022 Oct,0.08124006658428601,0.06154263876554393
2022 Nov,0.07528224412200409,0.06720684733045515
2022 Dec,-0.04318059264161923,-0.026174434123767767
2023 Jan,0.07844003092007043,0.02276329489164964
2023 Feb,-0.02223944468726621,-0.007758663006825094
2023 Mar,0.03372655039554154,0.009557390332968247
2023 Apr,0.02548603597698562,0.026497306945397443
2023 May,-0.017187941673948978,-0.043486238543973245
2023 Jun,0.06091962250408444,0.01579518298047201
2023 Jul,0.03235216732723486,0.006389705389989183
2023 Aug,-0.026291150422929472,-0.02698205778239709
2023 Sep,-0.046666213335609316,-0.043920575663634775
2023 Oct,-0.023821587349605874,-0.013568450752700894
2023 Nov,0.0931634594798255,0.03353312150953908
2023 Dec,0.05072102138020286,0.02218051679952282
2024 Jan,0.006158626941442189,-0.004506032559895621
2024 Feb,0.030217526997869584,0.026874099483137195
2024 Mar,0.035090152083581794,0.029203696077974878
2024 Apr,-0.03481810822661197,0.007717873584799869
2024 May,0.04328722496154416,0.027374674154769088
2024 Jun,0.00531782206433141,-0.011037347108932293
2024 Jul,0.02824571682780129,0.02772360236097083
2024 Aug,0.025477244519483307,0.04215962020104637
2024 Sep,0.015336749499504677,-0.005605755258639903
2024 Oct,-0.02968531935177579,-0.048769170669369394
2024 Nov,0.03562961801583125,-0.00015864137819214703
2024 Dec,-0.03472215718851721,-0.03595236943145019
2025 Jan,0.03401164335037601,-0.005295499681297704
2025 Feb,0.005941679681657258,0.0032066217046044926
2025 Mar,-0.0352818273666359,0.01376248574962448
2025 Apr,-0.0031127611999025584,0.04139874278299633
2025 May,0.04639650768641165,-0.010544574928921474
2025 Jun,0.04014872604913096,-0.0025571473345141534
2025 Jul,0.010741207831035571,-0.012493624669809921
2025 Aug,0.031637013706071915,0.011490677968560297
2025 Sep,0.022071124722057342,-0.00587477128415827
2025 Oct,0.021133185727705804,-0.013561562777481304
2025 Nov,0.014414630871745937,0.05086848657771371
2025 Dec,0.012616956354160639,-0.0017475679856862256
