,Value Weighted,Value Weighted (full available data),Minimum Variance (Sample Covariance),Minimum Variance (Ledoit–Wolf),MV CF-Constrained (Sample Covariance),MV CF-Constrained (Ledoit-Wolf),TE (Sample Covariance),TE (Ledoit-Wolf),NZ (SLSQP),NZ (LW)
Annualized Average Return,0.11905328914934699,0.11901895192484746,0.0855313654293568,0.08047175308931842,0.08245578209127835,0.08001974150125535,0.11834699084513334,0.11898651461214294,0.12302979938330849,0.11958776659193293
Annualized Volatility,0.14846805366757101,0.14714322312691533,0.12381211467924397,0.11833762068284025,0.12153207207766048,0.11758454214197854,0.14858014275686515,0.1480990999010888,0.14891700501226882,0.14815943978137827
Annualized Cumulative Return,0.10698036467048877,0.1071598566840406,0.07731888234082618,0.07300842375077021,0.07458289886881331,0.07266680579267382,0.10626418327835507,0.10697541583309067,0.11084451750666169,0.10756028475432977
Sharpe Ratio,0.8018781563333115,0.8088646517019009,0.6908158030491615,0.6800183460253343,0.6784693182766447,0.6805294305150653,0.7965195661360684,0.8034249680896822,0.8261635356766169,0.8071559042636416
Minimum Monthly Return,-0.14503225049933627,-0.14357986007633744,-0.14687726148575148,-0.1251957974601562,-0.13661311009149868,-0.11939622234176875,-0.14410057372790147,-0.14402126434301527,-0.1447861663640979,-0.1441796894199262
Maximum Monthly Return,0.16298657837869987,0.16178654873999052,0.1317369514549416,0.11434310627040738,0.12925137111282395,0.11495657071850461,0.16273465195889492,0.16283578937822135,0.16305111641089304,0.16270476361251793
