,,Value-Weighted,Value-Weighted (Full Available Returns),Minimum-Variance (Sample Covariance),Minimum-Variance (Single-Factor),Minimum-Variance (Ledoit-Wolf)
2018,Sep,0.006818857557168663,0.006818857557168663,-0.007195089028533345,-0.007420802377887207,-0.00538153100349687
2018,Oct,-0.06475430845403082,-0.06475430845403082,-0.014376796933042058,0.011781797814691231,-0.01847867418074796
2018,Nov,0.01090894429308827,0.01090894429308827,-0.003639874628276512,0.021186667148747902,-0.004444400172773946
2018,Dec,-0.07835678173064681,-0.07835678173064681,-0.05997392343405099,-0.05064543614208603,-0.06311850165137736
2019,Jan,0.08005526389499926,0.08005526389499926,0.018416744526444134,0.027108996865128215,0.02015372292479585
2019,Feb,0.03331467925714994,0.03331467925714994,0.04067343101686526,0.04695953686896445,0.038983877378672246
2019,Mar,0.014742531984651336,0.014742531984651336,0.036058942706836815,0.039995298365191397,0.036201268194965955
2019,Apr,0.03777824011282016,0.03777824011282016,0.023646952631332943,0.015215077121241944,0.025630883536618635
2019,May,-0.06024131110651568,-0.06024131110651568,-0.017917955462139853,-0.0016149426673849874,-0.020698094958260863
2019,Jun,0.07048213064285665,0.07048213064285665,0.03902105936687357,0.03762018646138941,0.04225735703786561
2019,Jul,0.004421681118661132,0.004421681118661132,0.007710276707721514,0.006299441117393716,0.008174835343704522
2019,Aug,-0.01852936478834609,-0.01852936478834609,0.013557982747158083,0.0450112458043593,0.014739391474579741
2019,Sep,0.024528927481349168,0.024528927481349168,0.00472150448972973,0.01932216537672299,0.005931289651743408
2019,Oct,0.022351275073197,0.022351275073197,0.001879527929174462,-0.013194315599228495,-0.0023611843158098233
2019,Nov,0.030265633186255945,0.030265633186255945,0.018903023852734298,-0.008013620894068707,0.019637839497018313
2019,Dec,0.034818053491582776,0.034818053491582776,0.04492777543937865,0.033263476171546597,0.04337635565096802
2020,Jan,-0.0139894887931764,-0.013989488793176396,0.011271441707530534,0.05427062963107836,0.011827923303714311
2020,Feb,-0.08787262579784652,-0.08787262579784652,-0.08447171009350847,-0.09257766664950383,-0.0844467292416578
2020,Mar,-0.13081499741544272,-0.13081499741544272,-0.12103454114746244,-0.0725410158818586,-0.12068582922296017
2020,Apr,0.10756681168082399,0.10756681168082399,0.10996737918265082,0.052429552776028905,0.11158982099194828
2020,May,0.04151971452551984,0.04151971452551984,0.029677010387767815,0.035042923627162756,0.025602705893585456
2020,Jun,0.028697452252960644,0.028697452252960644,-0.00863639562690384,-0.02622561916102594,-0.008955142905103061
2020,Jul,0.048831494529223016,0.048831494529223016,0.07340605563274213,0.07672147869770654,0.07343743657021587
2020,Aug,0.06566115507760087,0.06566115507760087,0.031489261378361624,-0.013202498730698585,0.03292487904009555
2020,Sep,-0.03807797853921576,-0.03807797853921576,-0.01895171032949546,0.0024685807994353007,-0.017492684741652793
2020,Oct,-0.0360833450905253,-0.0360833450905253,-0.015535077239699262,0.009907368377829903,-0.018191996938036917
2020,Nov,0.1285964900682717,0.1285964900682717,0.07194749609547116,0.012139006800683113,0.07141231232271225
2020,Dec,0.039921831155348336,0.039921831155348336,0.031160174737381384,-0.0007102705415978627,0.029360432394276458
2021,Jan,-0.012258233078466216,-0.012258233078466216,-0.003458084308552508,-0.01829585172493657,-0.005253435697576312
2021,Feb,0.027280937997184614,0.027280937997184614,-0.006310510680354917,-0.043384413643826045,-0.004558921495794197
2021,Mar,0.04517461989926932,0.04517461989926932,0.0830255838963526,0.1096552101253647,0.08264126948941702
2021,Apr,0.05018544750671289,0.05018544750671289,0.02169803585152027,0.03322797061910699,0.024322264775570264
2021,May,0.020006602885061148,0.020006602885061148,0.02528453227053632,-0.0019274631548705505,0.023924211218287913
2021,Jun,0.009169862157369521,0.009169862157369521,-0.01658759463977183,-0.0173975906351431,-0.016716932236583888
2021,Jul,0.018794722492814542,0.018794722492814542,0.02917605352245144,0.037276306516924554,0.028417226645015184
2021,Aug,0.02288993890692792,0.02288993890692792,0.00701341120293726,0.016617134082478186,0.007992939191512432
2021,Sep,-0.04474130700348604,-0.04474130700348604,-0.059190190396459806,-0.05996379498519093,-0.05848718143552839
2021,Oct,0.06369401053622285,0.06369401053622285,0.03377252693691304,0.03498446767411608,0.03517123763528735
2021,Nov,-0.014840367640217513,-0.014840367640217513,-0.028830412677855327,-0.01331177816383776,-0.030924395740593483
2021,Dec,0.052688674997588864,0.052688674997588864,0.08117978586268165,0.10321424406366911,0.08029038323215847
2022,Jan,-0.036754261392461435,-0.036754261392461435,-0.015213152475830934,-0.019459086401623783,-0.01730549401849501
2022,Feb,-0.024424785064053142,-0.024424785064053142,-0.011519286046237871,-0.02270444876568762,-0.012003270362254407
2022,Mar,0.027349373223796315,0.027349373223796315,0.04682446675128614,0.07298843046781944,0.047705365178562116
2022,Apr,-0.07244173036410066,-0.07244173036410066,-0.029409263331223037,-0.017213566537579238,-0.030900177276728474
2022,May,0.005746885308587739,0.005746885308587739,0.013242695425584311,0.01979126994808819,0.010222345984322475
2022,Jun,-0.08588487561574024,-0.08588487561574024,-0.05459416102488235,-0.04414478459319843,-0.053590957846134754
2022,Jul,0.07915883959420343,0.07915883959420343,0.03477388298948113,0.03573371777684618,0.03501963814374866
2022,Aug,-0.043298122922890696,-0.043298122922890696,-0.024071512247995298,-0.011252692179127787,-0.02553861052281571
2022,Sep,-0.09163055140671802,-0.09163055140671802,-0.08125966767673813,-0.10879131179543564,-0.08056346565612421
2022,Oct,0.08596555821926548,0.08596555821926548,0.07039606942015489,0.040824832594270735,0.06782189676495315
2022,Nov,0.07014381914309348,0.07014381914309348,0.05525697518639057,0.06472085984643619,0.058057113312632205
2022,Dec,-0.04239388195788846,-0.04239388195788846,-0.027227063915460547,-0.011989142404343263,-0.027464523168644218
2023,Jan,0.07822714767233696,0.07822714767233696,0.022754279437861652,0.002779571505641652,0.022973382500709398
2023,Feb,-0.022262653276876446,-0.022262653276876446,-0.008458290536028628,-0.025146787792575523,-0.011741898805917026
2023,Mar,0.031203796319884736,0.031203796319884736,0.008358835878134383,0.042338433616064985,0.01099413324192592
2023,Apr,0.026541022152722842,0.026541022152722842,0.02457511817271188,0.027011202898067882,0.026797022723993077
2023,May,-0.018268409486246213,-0.018268409486246213,-0.042642407876670216,-0.04842166485113365,-0.04567937197309742
2023,Jun,0.060776107613046824,0.060776107613046824,0.015570456542552341,0.014969900984046384,0.015751795354622792
2023,Jul,0.02891731948173208,0.02891731948173208,0.005319706948984164,0.0005516866170053392,0.007983557584972267
2023,Aug,-0.022532127569555062,-0.022532127569555062,-0.023413373734857298,-0.03776873356009241,-0.02366559325730777
2023,Sep,-0.0464657792459985,-0.0464657792459985,-0.04113209002983197,-0.047704024816356404,-0.04242044913529995
2023,Oct,-0.021683155395350765,-0.021683155395350765,-0.008003180555677822,-0.0150231131873019,-0.01062093843181917
2023,Nov,0.09052014750240293,0.09052014750240293,0.03064881193213376,0.043119935587752414,0.033334140062760254
2023,Dec,0.04512183753345169,0.04512183753345169,0.01614048033850575,0.028189877704028286,0.01840596345529155
2024,Jan,0.006414972285614911,0.006414972285614912,-0.003068011340923575,-0.00010625917823368371,-0.002134728000842835
2024,Feb,0.03892944776798144,0.03892944776798144,0.02273000977837774,0.009573016431267515,0.021637077680479434
2024,Mar,0.036160763044439936,0.036160763044439936,0.029438952023831136,0.038204826822831106,0.02824571898402955
2024,Apr,-0.03608573017802337,-0.03608573017802337,0.0048627338676067305,-3.5490179016120504e-05,0.007655112880189628
2024,May,0.05149352042937022,0.05149352042937022,0.030269396589763402,0.018973521632478323,0.02985032882499655
2024,Jun,0.016735145086141594,0.016735145086141594,-0.010454178049468167,-0.017778154344978522,-0.012544148825810892
2024,Jul,0.016367374273238387,0.016367374273238387,0.025289825750058295,0.050027262451870516,0.027053093151938837
2024,Aug,0.026611519407893795,0.026611519407893795,0.04374220922421908,0.06300940325826547,0.04468945553058651
2024,Sep,0.014911908317307062,0.014911908317307062,-0.007321145217788026,0.01580693631260068,-0.005805612591299883
2024,Oct,-0.022319242256584035,-0.022319242256584035,-0.050115212812236035,-0.037742817794473284,-0.045952307898802114
2024,Nov,0.04150494630277612,0.04150494630277612,0.001906716400850112,0.02813274660698037,-3.8855522324991384e-05
2024,Dec,-0.0321493062756824,-0.0321493062756824,-0.03588655378711812,-0.054032246133589215,-0.03399168444741862
2025,Jan,0.03396108916022009,0.033961089160220094,-0.005299238547121762,0.004577687447304867,-0.002293454734299386
2025,Feb,0.005283842087181289,0.005283842087181289,0.002187457412602749,0.04020191050627438,0.009274690058470045
2025,Mar,-0.039451663189687514,-0.039451663189687514,0.015220582416385117,0.015675936871573617,0.014704473545802437
2025,Apr,-0.00019693606676097694,-0.00019693606676097694,0.043177068204784466,0.01873132173852488,0.03867760044020238
2025,May,0.05042136180995802,0.05042136180995802,-0.01375918231559392,-0.02177267698944513,-0.0118241378185539
2025,Jun,0.04360407164409492,0.04360407164409492,-0.0009873460444178809,-0.016444394857310144,0.00128007305441071
2025,Jul,0.016987916174315387,0.016987916174315387,-0.011237444834930561,0.009015325242812032,-0.00531468564065497
2025,Aug,0.02372302039051935,0.02372302039051935,0.014191649299394309,-0.0013490435958961222,0.013855176354892477
2025,Sep,0.027550107170327534,0.027550107170327534,-0.003996175345867212,0.01100053456517788,0.0003309646454263118
2025,Oct,0.023503728203847364,0.023503728203847364,-0.012996484516735789,-0.019366701532891488,-0.010117078126530437
2025,Nov,0.007200901337549616,0.007200901337549616,0.05572452780425346,0.044900864577277856,0.049945765456352736
2025,Dec,0.013776681971187064,0.013776681971187064,0.0025745529929980075,-0.035076943929881574,-0.002608089989677728
