,,Value-Weighted,Value-Weighted (Full Available Returns),Minimum-Variance (Sample Covariance),Minimum-Variance (Single-Factor),Minimum-Variance (Ledoit-Wolf)
2014,Jan,-0.037437750731205394,-0.037437750731205394,-0.0015561784113203806,-0.0019662377303206863,-0.0045332400491965375
2014,Feb,0.05485239657662665,0.05485239657662665,0.048794314112365345,0.03912502374771192,0.048352298901469165
2014,Mar,0.007691294408877837,0.007691294408877837,0.00832532994200617,0.015599946681526155,0.006412662422598813
2014,Apr,0.015656213165311073,0.015656213165311073,0.019393666410153793,0.031135997165964237,0.01899409608919822
2014,May,0.016802652696047762,0.016802652696047762,0.005933113720834998,-0.0069739911448250865,0.007472019095307382
2014,Jun,0.011616821395744674,0.011616821395744674,0.007594422521400038,0.017777074184229726,0.007616388157657376
2014,Jul,-0.022870704181185416,-0.022870704181185416,-0.042265277823750794,-0.046592346030628264,-0.04071331743590549
2014,Aug,0.02431823466282147,0.02431823466282147,0.029766862291749973,0.039624354987745115,0.029704726955324445
2014,Sep,-0.023043130866110487,-0.023043130866110487,-0.03923130003718994,-0.022743312150122347,-0.037153198840900396
2014,Oct,0.004485482230189174,0.004485482230189174,0.051442564815163266,0.07095794610461431,0.048102998053639295
2014,Nov,0.02726643749758039,0.02726643749758039,0.029434436426030827,0.02787786621928103,0.028478908274321077
2014,Dec,-0.017939806458979152,-0.017939806458979152,0.007667059182105907,0.022399776306296956,0.0074467328090804565
2015,Jan,-0.023212957610503942,-0.023212957610503942,0.0075415213566203355,0.014230879821181562,0.00475850634222367
2015,Feb,0.05731359811604604,0.05731359811604604,0.007632149387096825,-0.0179339337174244,0.01077742881996454
2015,Mar,-0.018919211863429673,-0.018919211863429673,-0.012345596132058713,-0.011746895626445073,-0.01715764127239448
2015,Apr,0.02229716133487452,0.02229716133487452,-0.00069651777739318,-0.009844256543839565,0.0025069989422811657
2015,May,0.002931833903026256,0.002931833903026256,0.012201845448682119,0.009434972189058536,0.013112812375526839
2015,Jun,-0.023762513363915154,-0.023762513363915154,-0.023538331769139657,-0.031440214141106905,-0.022853552878035126
2015,Jul,0.01957695539073053,0.01957695539073053,0.049087826359569584,0.06604308072187959,0.048676694793815256
2015,Aug,-0.06380608925549641,-0.06380608925549641,-0.030423759331264885,-0.03512863151169678,-0.03172972435187705
2015,Sep,-0.03028543496120306,-0.03028543496120306,-0.005555231526354917,0.02300298804837334,-0.006724683633986001
2015,Oct,0.07521849425771263,0.07521849425771263,0.031470141057788364,0.02673220885715641,0.034014606979379886
2015,Nov,-0.0052485979039335095,-0.0052485979039335095,-0.0032446710535969374,-0.00564008373508257,-0.0047967008250458815
2015,Dec,-0.023011096974919362,-0.023011096974919362,0.024806355562026844,0.026193499580696382,0.022699617777462815
2016,Jan,-0.0547198538388651,-0.054719853838865115,0.004376439134255172,0.03269982441045332,0.00318626298874726
2016,Feb,-0.007884990020046553,-0.007884990020046553,0.0028262616638902553,0.012029110554803137,0.002517121920011226
2016,Mar,0.07024527734291332,0.07024527734291332,0.04225967133941378,0.05988541812451746,0.043380283667699596
2016,Apr,0.013488672611597962,0.013488672611597962,0.009748590878725098,-0.02238041956705982,0.01012962452087244
2016,May,0.006600739979707336,0.006600739979707336,0.012083810078520763,0.0158272149067224,0.012171551401921698
2016,Jun,-0.013786225708222057,-0.013786225708222057,0.05355021817826,0.08423297778123527,0.05079957476706794
2016,Jul,0.0371109708428819,0.0371109708428819,0.01951037823770766,-0.007050238697503991,0.020832460765846064
2016,Aug,0.0022539077513651865,0.0022539077513651865,-0.04666238019387574,-0.04429507469794763,-0.044982692736350104
2016,Sep,0.0022578091185036443,0.0022578091185036443,-0.01419604469329838,-0.017532013337603534,-0.012855767697836905
2016,Oct,-0.021258754945447794,-0.021258754945447794,-0.030819378344237168,-0.00722014331157974,-0.03365162425721611
2016,Nov,0.018330436445151907,0.018330436445151907,-0.020287455340481243,-0.03350898741504795,-0.017286835238848844
2016,Dec,0.033174350988209714,0.033174350988209714,0.030243045815211016,0.03557276524430206,0.03269251489384675
2017,Jan,0.014603469722487048,0.014603469722487048,0.0121874960318189,0.012432182235796167,0.012956029104279777
2017,Feb,0.02846970660092424,0.02846970660092424,0.02045600714804317,0.04278050389775177,0.01856829490480407
2017,Mar,0.014133209279734068,0.014133209279734068,0.0036383132300564177,-0.0028382232071659675,0.005131007810279827
2017,Apr,0.018472682344387596,0.018472682344387596,0.03269260392678301,0.009875249652197812,0.03447712178060504
2017,May,0.026708448559953656,0.026708448559953656,0.021885096154021115,0.030839637827838287,0.025447279106559636
2017,Jun,0.00227289108441019,0.00227289108441019,-0.011659012131416539,-0.02556018771466927,-0.014731652142604499
2017,Jul,0.02242980314429153,0.02242980314429153,0.01831396129722634,0.012144200018213827,0.016955703508476246
2017,Aug,0.0023711876117236247,0.0023711876117236247,-0.0466578389911114,0.003330550812071494,-0.04117793060082674
2017,Sep,0.02821887356867179,0.02821887356867179,0.005395516067363749,-0.014805813396766647,0.0063573127576430685
2017,Oct,0.018925277202194644,0.018925277202194644,0.011285854949209678,0.02709874862421591,0.01408837302000725
2017,Nov,0.021923069673255094,0.021923069673255094,0.03085616255910606,0.0465626154748099,0.025400570300129932
2017,Dec,0.013293914989397599,0.013293914989397599,0.014388143317880563,-0.01725658598505504,0.015970344506498584
2018,Jan,0.04726325179102313,0.04726325179102313,-0.01619931566254653,-0.02809143987334044,-0.016889066159104158
2018,Feb,-0.047128573646367744,-0.047128573646367744,-0.06483110195649563,-0.06710608146733346,-0.0668222310566852
2018,Mar,-0.01810535854322975,-0.01810535854322975,-0.008167466549415392,0.012985504734188883,-0.008289150571321662
2018,Apr,0.01254904512618377,0.01254904512618377,0.008794626163981493,0.007196534841693814,0.008439044056447428
2018,May,0.0013356696548404105,0.0013356696548404105,0.008405445547867308,-0.024496120792261822,0.010637642929394854
2018,Jun,0.0001736761470164706,0.0001736761470164706,0.02294367127088897,0.03466588959460292,0.020751464369239313
2018,Jul,0.03862657172694206,0.03862657172694206,0.009998042891761625,0.030584782995421788,0.010657327144656144
2018,Aug,0.009036850287643242,0.009036850287643242,0.022555567967243846,0.012436503953682683,0.020627650629258032
