,Value-Weighted (Full Available Returns),Minimum-Variance (Ledoit-Wolf),MV CF-Constrained (Ledoit-Wolf)
Annualized Average Return,0.11658635469344247,0.0734098337384019,0.07285265855088192
Annualized Volatility,0.1425101634489635,0.11571002325754687,0.11478002554541332
Annualized Cumulative Return,0.1118348904665678,0.06881256207526154,0.0683459820668908
Sharpe Ratio,0.6954686760213901,0.48340525879856105,0.4824677315389821
Minimum Monthly Return,-0.13081680618833097,-0.12068582922296017,-0.11520378009179737
Maximum Monthly Return,0.1285964900682717,0.11158982099194828,0.11254744110563815
