,Value-Weighted,Value-Weighted (Full Available Returns),Minimum-Variance (Sample Covariance),Minimum-Variance (Ledoit-Wolf),MV CF-Constrained (Sample Covariance),MV CF-Constrained (Ledoit-Wolf),TE (Sample Covariance),TE (Ledoit-Wolf),NZ (Sample Covariance),NZ (Ledoit-Wolf)
Annualized Average Return,0.11301188624370047,0.11298091266227538,0.08235088821376949,0.07764789218574317,0.07949448219106797,0.07722675794246127,0.11237460085970127,0.1129516520787649,0.1165929820462224,0.11349389447899422
Annualized Volatility,0.14846805366757101,0.14714322312691533,0.12381211467924397,0.11833762068284025,0.12153207207766048,0.11758454214197854,0.14858014275686515,0.1480990999010888,0.14891700501226882,0.14815943978137827
Annualized Cumulative Return,0.10698036467048877,0.1071598566840406,0.07731888234082618,0.07300842375077021,0.07458289886881331,0.07266680579267382,0.10626418327835507,0.10697541583309067,0.11084451750666169,0.10756028475432977
Sharpe Ratio,0.6434844660765433,0.6490676949484706,0.5239865935723771,0.5084848912672849,0.5103137067508964,0.5081599745510215,0.6387098511205092,0.6446808396710791,0.6655920996937619,0.6480781421735817
Minimum Monthly Return,-0.14503225049933627,-0.14357986007633744,-0.14687726148575148,-0.1251957974601562,-0.13661311009149868,-0.11939622234176875,-0.14410057372790147,-0.14402126434301527,-0.1447861663640979,-0.1441796894199262
Maximum Monthly Return,0.16298657837869987,0.16178654873999052,0.1317369514549416,0.11434310627040738,0.12925137111282395,0.11495657071850461,0.16273465195889492,0.16283578937822135,0.16305111641089304,0.16270476361251793
