,Value-Weighted,Value-Weighted (Full Available Returns),Value-Weighted (Full Available Returns + Drift),Minimum-Variance (Sample Covariance),Minimum-Variance (Single-Factor),Minimum-Variance (Ledoit-Wolf)
Annualized Average Return,0.11594491976193937,0.11658635469344247,0.11348092279111459,0.07710726199403652,0.08656457155618744,0.0734098337384019
Annualized Volatility,0.14271487184515957,0.1425101634489635,0.14362137546049042,0.12013422204930022,0.12422195124076026,0.11571002325754687
Annualized Cumulative Return,0.11109635584628164,0.1118348904665678,0.10823637041004441,0.07217181508085879,0.08183557247431916,0.06881256207526154
Sharpe Ratio,0.6899765840015306,0.6954686760213901,0.6684654180709015,0.4963803067669171,0.5561784440358841,0.48340525879856105
Minimum Monthly Return,-0.13146969850357312,-0.13081680618833097,-0.13802686505381256,-0.14110768792590517,-0.10868516553532467,-0.12068582922296017
Maximum Monthly Return,0.12898733008044572,0.1285964900682717,0.13384494152554408,0.1219613156243639,0.10958633835953513,0.11158982099194828
