,Value-Weighted (Full Available Returns),Value-Weighted (Full Available Returns + Drift),Minimum-Variance (Ledoit-Wolf),MV CF-Constrained (Ledoit-Wolf),TE (Ledoit-Wolf)
Annualized Average Return,0.11658635469344247,0.11348092279111459,0.0734098337384019,0.07285265855088192,0.11284269710630421
Annualized Volatility,0.1425101634489635,0.14362137546049042,0.11571002325754687,0.11478002554541332,0.14361303812063292
Annualized Cumulative Return,0.1118348904665678,0.10823637041004441,0.06881256207526154,0.0683459820668908,0.1075384387484879
Sharpe Ratio,0.6954686760213901,0.6684654180709015,0.48340525879856105,0.4824677315389821,0.6640601602355682
Minimum Monthly Return,-0.13081680618833097,-0.13802686505381256,-0.12068582922296017,-0.11520378009179737,-0.13776230157591948
Maximum Monthly Return,0.1285964900682717,0.13384494152554408,0.11158982099194828,0.11254744110563815,0.13427622539744458
